"filename", "language", "Ignore", "JSON", "JSON with Comments", "YAML", "TypeScript", "Markdown", "Docker", "comment", "blank", "total"
"d:\coding\syndicate-bot-2\.dockerignore", "Ignore", 8, 0, 0, 0, 0, 0, 0, 2, 2, 12
"d:\coding\syndicate-bot-2\.eslintrc.json", "JSON with Comments", 0, 0, 94, 0, 0, 0, 0, 0, 1, 95
"d:\coding\syndicate-bot-2\.gitbook.yaml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\coding\syndicate-bot-2\.prettierignore", "Ignore", 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\coding\syndicate-bot-2\.prettierrc.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\coding\syndicate-bot-2\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 8, 7, 8, 23
"d:\coding\syndicate-bot-2\LEGAL.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 34, 70
"d:\coding\syndicate-bot-2\README.md", "Markdown", 0, 0, 0, 0, 0, 90, 0, 0, 40, 130
"d:\coding\syndicate-bot-2\lang\lang.common.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"d:\coding\syndicate-bot-2\lang\lang.en-GB.json", "JSON", 0, 300, 0, 0, 0, 0, 0, 0, 1, 301
"d:\coding\syndicate-bot-2\lang\lang.en-US.json", "JSON", 0, 300, 0, 0, 0, 0, 0, 0, 1, 301
"d:\coding\syndicate-bot-2\lang\logs.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\coding\syndicate-bot-2\misc\Discord Bot Cluster API.postman_collection.json", "JSON", 0, 135, 0, 0, 0, 0, 0, 0, 0, 135
"d:\coding\syndicate-bot-2\package.json", "JSON", 0, 78, 0, 0, 0, 0, 0, 0, 1, 79
"d:\coding\syndicate-bot-2\process.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\coding\syndicate-bot-2\src\buttons\approve-button-event.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 5, 57
"d:\coding\syndicate-bot-2\src\buttons\button.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
