Date : 2023-08-13 16:56:38
Directory : d:\coding\syndicate-bot-2
Total : 177 files,  12985 codes, 264 comments, 1231 blanks, all 14480 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        161 |     11,794 |        254 |      1,136 |     13,184 |
| JSON               |          8 |        928 |          0 |          7 |        935 |
| Markdown           |          2 |        126 |          0 |         74 |        200 |
| JSON with Comments |          2 |        113 |          0 |          2 |        115 |
| Ignore             |          2 |         15 |          3 |          3 |         21 |
| Docker             |          1 |          8 |          7 |          8 |         23 |
| YAML               |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        177 |     12,985 |        264 |      1,231 |     14,480 |
| . (Files)                                                                      |         11 |        363 |         10 |         91 |        464 |
| lang                                                                           |          4 |        693 |          0 |          4 |        697 |
| misc                                                                           |          1 |        135 |          0 |          0 |        135 |
| src                                                                            |        161 |     11,794 |        254 |      1,136 |     13,184 |
| src (Files)                                                                    |          2 |        252 |         57 |         35 |        344 |
| src\buttons                                                                    |         17 |      1,330 |         24 |        141 |      1,495 |
| src\buttons (Files)                                                            |         11 |        925 |         24 |        104 |      1,053 |
| src\buttons\setup                                                              |          6 |        405 |          0 |         37 |        442 |
| src\commands                                                                   |         15 |        678 |         22 |         83 |        783 |
| src\commands (Files)                                                           |          6 |        277 |         20 |         29 |        326 |
| src\commands\guild                                                             |          5 |        250 |          2 |         34 |        286 |
| src\commands\news                                                              |          4 |        151 |          0 |         20 |        171 |
| src\config                                                                     |          3 |        162 |          1 |          3 |        166 |
| src\constants                                                                  |          2 |         16 |          0 |          2 |         18 |
| src\controllers                                                                |          5 |        122 |          0 |         29 |        151 |
| src\embeds                                                                     |          1 |         92 |          0 |         10 |        102 |
| src\enums                                                                      |          3 |         11 |          0 |          3 |         14 |
| src\events                                                                     |         13 |        644 |         35 |         96 |        775 |
| src\extensions                                                                 |          3 |         37 |          0 |          7 |         44 |
| src\jobs                                                                       |          4 |         66 |         23 |         20 |        109 |
| src\menus                                                                      |          9 |        497 |          0 |         69 |        566 |
| src\messages                                                                   |          4 |        436 |          1 |         15 |        452 |
| src\messages (Files)                                                           |          1 |        165 |          0 |         12 |        177 |
| src\messages\previews                                                          |          3 |        271 |          1 |          3 |        275 |
| src\middleware                                                                 |          4 |         61 |          3 |         14 |         78 |
| src\modals                                                                     |          4 |        202 |          0 |         54 |        256 |
| src\models                                                                     |         13 |      1,046 |         40 |         96 |      1,182 |
